datetime,pv_to_house_frac,pv_to_batt_frac,batt_to_house_frac,grid_to_batt_frac,soc_kWh,pv_to_house_kWh,discharge_to_house_kWh,grid_to_house_kWh,pv_to_batt_kWh,grid_to_batt_kWh,pv_to_grid_kWh,discharge_to_grid_kWh,consumption_kWh,pv_production_kWh,step_cost_eur,degradation_penalty,buy_price,sell_price,hour,temperature_C,date,month,is_selling,could_store,soc_zone
2023-11-16 06:00:00,0.4535683095455169,0.5029322504997253,0.5237832069396973,0.0054917633533477,0.2383269146084785,0.0,0.0,0.7073968229506933,0.0,0.0274588167667388,0.0,0.0,0.7073968229506933,0.0,0.1543196843406607,2.6085875928401943e-05,0.21,0.04,6,16.1,2023-11-16,11,False,False,0-25%
2023-11-16 07:00:00,0.4013853073120117,0.5894649028778076,0.4539320170879364,0.006170243024826,0.2676355689764023,0.0,0.0,0.8773709618383309,0.0,0.0308512151241302,0.0,0.0,0.8773709618383309,0.0,0.1907266571621168,2.9308654367923736e-05,0.21,0.04,7,16.3,2023-11-16,11,False,False,0-25%
2023-11-16 08:00:00,0.2544031143188476,0.484542042016983,0.3934250473976135,0.0053983330726623,0.8288356710663736,0.2959878473854064,0.0,0.2897155975748181,0.5355580199948251,0.0269916653633117,0.3319141326197683,0.0,0.5857034449602245,1.16346,0.0532319599122165,0.0005612001020899,0.21,0.04,8,15.4,2023-11-16,11,True,True,0-25%
2023-11-16 09:00:00,0.0999526381492614,0.2555488049983978,0.3870061337947845,0.0055154860019683,1.4510864843061864,0.2454037171840667,0.0,0.1513534602068058,0.596052254730463,0.0275774300098419,1.6137440280854702,0.0,0.3967571773908726,2.4552,-0.0269742741779227,0.0006222508132398,0.21,0.04,9,15.6,2023-11-16,11,True,True,0-25%
2023-11-16 10:00:00,0.161728024482727,0.3160649240016937,0.273904800415039,0.0047440826892852,0.5556009598424136,0.2871222309851646,0.3974595538688467,0.0,0.5330665670683085,0.0237204134464263,0.9551512019465268,1.0536269304373396,0.3371383351381594,1.77534,-0.0753698384716051,0.0020066874441486,0.21,0.04,10,15.6,2023-11-16,11,True,True,0-25%
2023-11-16 11:00:00,0.2869448661804199,0.3012939691543579,0.2724323272705078,0.00447279214859,0.8561263465523421,0.2799778448295593,0.0,0.0426397679792477,0.2792796240041256,0.0223639607429504,0.4164625311663151,0.0,0.3226176128088071,0.97572,-0.0030077182149909,0.0003005253867099,0.21,0.04,11,15.7,2023-11-16,11,True,True,0-25%
2023-11-16 12:00:00,0.2606319487094879,0.0725526809692382,0.3000914454460144,0.0042669475078582,1.1123868153667151,0.8923777291864157,0.0,0.0,0.2359924681520462,0.0213347375392913,2.2955298026615383,0.0,0.7060831515439314,3.4239,-0.0873408972232103,0.0002562604688143,0.21,0.04,12,15.4,2023-11-16,11,True,True,0-25%
2023-11-16 13:00:00,0.3106002807617187,0.1127307713031768,0.3172492980957031,0.0032026767730712,0.2460671846468149,0.6695361772155761,0.3529039363860048,0.0,0.2308544699747264,0.0160133838653564,1.2552293528096974,0.7594828789807102,0.4427611175007265,2.15562,-0.0772256786598914,0.0013584540000135,0.21,0.04,13,15.5,2023-11-16,11,True,True,0-25%
2023-11-16 14:00:00,0.2535249590873718,0.1085491180419921,0.4302453398704529,0.0030350685119628,0.2911480175325571,0.0753881818342208,0.0,0.2795421335072134,0.0306642574539184,0.0151753425598144,0.1913075607118606,0.0,0.3549303153414344,0.29736,0.0542383675456014,4.508083288574219e-05,0.21,0.04,14,15.1,2023-11-16,11,True,True,0-25%
2023-11-16 15:00:00,0.4631759226322174,0.2080248296260833,0.3764834702014923,0.0025643408298492,0.7079273609549104,0.9482693299233912,0.0,0.0,0.4045987244805693,0.0128217041492462,0.6944519455960394,0.0,0.4510063591870887,2.04732,-0.0250855199524998,0.0004167793434223,0.21,0.04,15,15.0,2023-11-16,11,True,True,0-25%
2023-11-16 16:00:00,0.3916473090648651,0.2143373787403106,0.5117459297180176,0.0036694109439849,0.7261267484658955,0.0014804268282651,0.0,0.5930634657660653,0.0007696855270564,0.0183470547199249,0.0015298876446783,0.0,0.5945438925943305,0.00378,0.1283350137962708,1.8199387510985136e-05,0.21,0.04,16,14.4,2023-11-16,11,True,True,0-25%
2023-11-16 17:00:00,0.8208129405975342,0.3573233783245086,0.5968911647796631,0.0042283535003662,0.746211427592635,0.0,0.0,1.0129661594394397,0.0,0.021141767501831,0.0,0.0,1.0129661594394397,0.0,0.2171626646576668,2.0084679126739504e-05,0.21,0.04,17,13.8,2023-11-16,11,False,False,0-25%
2023-11-16 18:00:00,0.9237945079803468,0.2805423736572265,0.5112294554710388,0.0038354992866516,0.7644300492042302,0.0,0.0,1.239862149838478,0.0,0.019177496433258,0.0,0.0,1.239862149838478,0.0,0.2643983257170645,1.8218621611595155e-05,0.21,0.04,18,13.8,2023-11-16,11,False,False,0-25%
2023-11-16 19:00:00,0.9324758052825928,0.1505708396434784,0.3644337654113769,0.0035339295864105,0.7812162147396802,0.0,0.0,1.1714777737047768,0.0,0.0176696479320526,0.0,0.0,1.1714777737047768,0.0,0.2497209585437341,1.6786165535449983e-05,0.21,0.04,19,13.4,2023-11-16,11,False,False,0-25%
2023-11-16 20:00:00,0.8575271368026733,0.1305853724479675,0.2472933828830719,0.003167986869812,0.7962641523712872,0.0,0.0,0.9692650203149544,0.0,0.01583993434906,0.0,0.0,0.9692650203149544,0.0,0.206872040479443,1.5047937631607056e-05,0.21,0.04,20,13.3,2023-11-16,11,False,False,0-25%
2023-11-16 21:00:00,0.7325851917266846,0.1179440319538116,0.240545243024826,0.0028288066387176,0.8097009839051961,0.0,0.0,0.7820931481671425,0.0,0.0141440331935882,0.0,0.0,0.7820931481671425,0.0,0.1672098080857534,1.3436831533908844e-05,0.21,0.04,21,13.0,2023-11-16,11,False,False,0-25%
2023-11-16 22:00:00,0.6552203893661499,0.1602119505405426,0.295102447271347,0.003325879573822,0.8254989118808507,0.0,0.0,0.50780695883368,0.0,0.0166293978691101,0.0,0.0,0.50780695883368,0.0,0.0770921444353101,1.5797927975654603e-05,0.147,0.04,22,12.8,2023-11-16,11,False,False,0-25%
2023-11-16 23:00:00,0.6275573968887329,0.4133176207542419,0.3389125466346741,0.0041432678699493,0.84517943426311,0.0,0.0,0.3034236179638427,0.0,0.0207163393497467,0.0,0.0,0.3034236179638427,0.0,0.0476485737250976,1.9680522382259368e-05,0.147,0.04,23,12.4,2023-11-16,11,False,False,0-25%
2023-11-17 00:00:00,0.5039414763450623,0.6523447036743164,0.3846375048160553,0.0089659690856933,0.8877677874201535,0.0,0.0,0.2259496180904592,0.0,0.0448298454284668,0.0,0.0,0.2259496180904592,0.0,0.0398045811372821,4.258835315704346e-05,0.147,0.04,0,11.4,2023-11-17,11,False,False,0-25%
2023-11-17 01:00:00,0.4274471402168274,0.6410263776779175,0.464299201965332,0.0126016438007354,0.947625595473647,0.0,0.0,0.1953311682091524,0.0,0.0630082190036773,0.0,0.0,0.1953311682091524,0.0,0.0379758899202859,5.98578080534935e-05,0.147,0.04,1,11.1,2023-11-17,11,False,False,0-25%
2023-11-17 02:00:00,0.4904212951660156,0.4748386442661285,0.4253172278404236,0.0111303925514221,1.000494960092902,0.0,0.0,0.2179385359029955,0.0,0.0556519627571105,0.0,0.0,0.2179385359029955,0.0,0.0402178033030355,5.286936461925507e-05,0.147,0.04,2,10.6,2023-11-17,11,False,False,0-25%
2023-11-17 03:00:00,0.5729339718818665,0.4468883275985718,0.3996757864952087,0.0114310979843139,0.0542977154254913,0.0,0.3998736100596231,0.0,0.0,0.0571554899215698,0.0,0.600621350033279,0.2281547621577185,0.0,-0.0156229969828603,0.0010547926755183,0.147,0.04,3,10.3,2023-11-17,11,True,True,0-25%
2023-11-17 04:00:00,0.55649334192276,0.2749911546707153,0.4209319353103637,0.0067958235740661,0.0865778774023056,0.0,0.0,0.3305392944878816,0.0,0.0339791178703308,0.0,0.0,0.3305392944878816,0.0,0.0535842066166572,3.228016197681427e-05,0.147,0.04,4,9.4,2023-11-17,11,False,False,0-25%
2023-11-17 05:00:00,0.5768420100212097,0.174987643957138,0.429680585861206,0.0058185756206512,0.114216111600399,0.0,0.0,0.3278367644841404,0.0,0.0290928781032562,0.0,0.0,0.3278367644841404,0.0,0.0524686574603473,2.7638234198093416e-05,0.147,0.04,5,10.8,2023-11-17,11,False,False,0-25%
2023-11-17 06:00:00,0.5586270093917847,0.5029078722000122,0.5128313899040222,0.0047999620437622,0.1370159313082695,0.0,0.0,0.733585315628769,0.0,0.023999810218811,0.0,0.0,0.733585315628769,0.0,0.1590928764279918,2.279981970787048e-05,0.21,0.04,6,11.5,2023-11-17,11,False,False,0-25%
2023-11-17 07:00:00,0.6672932505607605,0.473036378622055,0.453141838312149,0.0044616162776947,0.1582086086273193,0.0,0.0,1.02355586837368,0.0,0.0223080813884735,0.0,0.0,1.02355586837368,0.0,0.2196314294500522,2.1192677319049835e-05,0.21,0.04,7,10.8,2023-11-17,11,False,False,0-25%
2023-11-17 08:00:00,0.4020235538482666,0.5600445866584778,0.5144447684288025,0.0052480995655059,0.3567318619116544,0.1311722451496124,0.0,0.5434199314153267,0.1735947803481816,0.0262404978275299,0.0215129745022058,0.0,0.6745921765649392,0.3262799999999999,0.1187681711609116,0.0001985232532843,0.21,0.04,8,10.3,2023-11-17,11,True,True,0-25%
2023-11-17 09:00:00,0.3697061538696289,0.3635483384132385,0.3078175783157348,0.0058260858058929,0.5065634644215702,0.1307650666236877,0.0,0.3354750296204262,0.1221576949319243,0.0291304290294647,0.1007772384443879,0.0,0.466240096244114,0.3537,0.0725360567787015,0.0001498316025099,0.21,0.04,9,11.5,2023-11-17,11,True,True,0-25%
2023-11-17 10:00:00,0.3176599740982055,0.2498501241207122,0.3512065410614013,0.0056304335594177,0.9150787636351287,0.5109306555390358,0.0,0.0,0.3817707398063243,0.0281521677970886,0.71571860465464,0.0,0.3605533127030204,1.6084200000000002,-0.0227167889487969,0.0004085152992135,0.21,0.04,10,12.0,2023-11-17,11,True,True,0-25%
2023-11-17 11:00:00,0.2352234125137329,0.1010447442531585,0.4168608784675598,0.0059345662593841,1.2885817989439965,0.8461691818356515,0.0,0.0,0.3453138455767929,0.0296728312969207,2.405816972587556,0.0,0.3755220377315587,3.5973,-0.0900013843311488,0.0003735030353088,0.21,0.04,11,12.8,2023-11-17,11,True,True,0-25%
2023-11-17 12:00:00,0.4057887494564056,0.37090003490448,0.2798295617103576,0.0044083893299102,0.7707795482826234,0.8635509219431878,0.3605832800264427,0.0,0.7498396989655495,0.0220419466495513,0.5146893790912629,0.9279985189175536,0.713502930516538,2.12808,-0.0530787071239468,0.0020593613472266,0.21,0.04,12,14.0,2023-11-17,11,True,True,0-25%
2023-11-17 13:00:00,0.4140207767486572,0.2715892493724823,0.3631336987018585,0.0044328868389129,1.2617799468298854,0.7541057231855393,0.0,0.0,0.4699441860624254,0.0221644341945648,0.5973700907520354,0.0,0.5137893098673922,1.82142,-0.0192402724492228,0.0004910003985472,0.21,0.04,13,14.4,2023-11-17,11,True,True,0-25%
2023-11-17 14:00:00,0.3994419872760772,0.2301822304725647,0.369726151227951,0.005204439163208,0.1084553967331647,0.1529543257677555,0.4665130434380222,0.0,0.0837343107079267,0.02602219581604,0.1462313635243177,0.7952669033918631,0.4028646733941743,0.38292,-0.0321952695552788,0.001370235343563,0.21,0.04,14,13.3,2023-11-17,11,True,True,0-25%
