datetime,step,pv_to_house_frac,pv_to_batt_frac,batt_to_house_frac,grid_to_batt_frac,soc_kWh,pv_to_house_kWh,pv_to_batt_kWh,pv_to_grid_kWh,discharge_to_house_kWh,discharge_to_grid_kWh,grid_to_batt_kWh,grid_to_house_kWh,consumption_kWh,pv_production_kWh,step_cost_eur,degradation_penalty,reward
2023-12-15 16:00:00,8365,-1.1199675,-1.2450972,-6.73373,-6.1292305,0.971528716701022,0.0,0.0,0.0,0.0,0.0,0.0,0.6434243644277562,0.6434243644277562,0.0,0.1351191165298288,0.0,-0.14117605909642675
2023-12-15 17:00:00,8366,-1.519001,-7.665779,-9.3521595,-2.5916424,0.971528716701022,0.0,0.0,0.0,0.0,0.0,0.0,1.0550251136766786,1.0550251136766786,0.0,0.2215552738721025,0.0,-0.22761221643870044
2023-12-15 18:00:00,8367,-9.759555,-9.364461,-9.935324,-0.26511288,0.971528716701022,0.0,0.0,0.0,0.0,0.0,0.0,1.2670039127673955,1.2670039127673955,0.0,0.26607082168115304,0.0,-0.272127764247751
2023-12-15 19:00:00,8368,-9.953131,-9.335027,-9.978799,-4.5511913,0.971528716701022,0.0,0.0,0.0,0.0,0.0,0.0,1.4066434517604725,1.4066434517604725,0.0,0.2953951248696992,0.0,-0.30145206743629716
2023-12-15 20:00:00,8369,-9.617042,-8.682851,-9.921099,-6.8368883,0.971528716701022,0.0,0.0,0.0,0.0,0.0,0.0,1.2704868471772883,1.2704868471772883,0.0,0.26680223790723057,0.0,-0.2728591804738285
2023-12-15 21:00:00,8370,-2.8582072,-2.5864697,-8.822999,5.7410145,0.971528716701022,0.0,0.0,0.0,0.0,0.0,0.0,1.050173323667052,1.050173323667052,0.0,0.22053639797008093,0.0,-0.22659334053667887
2023-12-15 22:00:00,8371,7.938587,8.403984,6.6796856,9.836836,0.971528716701022,0.0,0.0,0.0,0.0,0.0,0.0,0.8021038400251749,0.8021038400251749,0.0,0.1179092644837007,0.0,-0.12396620705029866
2023-12-15 23:00:00,8372,9.290882,9.768599,9.648382,9.965895,0.971528716701022,0.0,0.0,0.0,0.0,0.0,0.0,0.6584332814573883,0.6584332814573883,0.0,0.09678969237423608,0.0,-0.10284663494083404
2023-12-16 00:00:00,8373,-7.499792,8.783339,6.5792675,9.838221,0.971528716701022,0.0,0.0,0.0,0.0,0.0,0.0,0.5696652064915124,0.5696652064915124,0.0,0.08374078535425232,0.0,-0.08979772792085028
2023-12-16 01:00:00,8374,-0.7664318,9.357773,5.501707,9.883923,0.971528716701022,0.0,0.0,0.0,0.0,0.0,0.0,0.5494159376250377,0.5494159376250377,0.0,0.08076414283088054,0.0,-0.0868210853974785
2023-12-16 02:00:00,8375,5.128112,9.756155,4.322731,9.933739,0.971528716701022,0.0,0.0,0.0,0.0,0.0,0.0,0.5520360858252499,0.5520360858252499,0.0,0.08114930461631173,0.0,-0.08720624718290969
2023-12-16 03:00:00,8376,9.217279,9.925686,6.4833755,9.979532,0.971528716701022,0.0,0.0,0.0,0.0,0.0,0.0,0.5852877639758356,0.5852877639758356,0.0,0.08603730130444782,0.0,-0.09209424387104578
2023-12-16 04:00:00,8377,9.980225,9.981632,8.311775,9.966654,0.971528716701022,0.0,0.0,0.0,0.0,0.0,0.0,0.6501631996628161,0.6501631996628161,0.0,0.09557399035043396,0.0,-0.10163093291703192
2023-12-16 05:00:00,8378,9.996878,9.979561,9.842777,9.993818,0.971528716701022,0.0,0.0,0.0,0.0,0.0,0.0,0.7671586856742261,0.7671586856742261,0.0,0.11277232679411123,0.0,-0.11882926936070919
2023-12-16 06:00:00,8379,9.992779,9.868643,9.978048,9.993626,0.971528716701022,0.0,0.0,0.0,0.0,0.0,0.0,1.1811150142719418,1.1811150142719418,0.0,0.24803415299710777,0.0,-0.25409109556370574
2023-12-16 07:00:00,8380,9.986818,9.232502,9.706636,9.800667,0.971528716701022,0.0,0.0,0.0,0.0,0.0,0.0,1.311158463099229,1.311158463099229,0.0,0.27534327725083807,0.0,-0.281400219817436
2023-12-16 08:00:00,8381,9.880716,9.427214,8.405924,9.328814,0.9772793351886185,0.009526746997833253,0.0057506184875965125,0.0021799697220325474,0.0,0.0,0.0,0.9391046274324797,0.948631374430313,0.01776,0.19712477297193942,5.750618487596512e-06,-0.20336126234642254
2023-12-16 09:00:00,8382,8.987289,-3.0682077,7.2299786,5.572193,0.9772807124184449,0.24941281107902524,1.3772298264038908e-06,0.043025737808346745,0.0,0.0,0.0,0.4212376824777384,0.6706504935567636,0.29244,0.08673888380799119,1.3772298264038909e-09,-0.0964415114740936
2023-12-16 10:00:00,8383,8.525242,-8.301039,4.266384,5.8814754,0.9772807404837016,0.5875990537527855,2.806525663076797e-08,0.02068093831614586,0.0,0.0,0.0,0.0,0.5875990537527855,0.6082799999999999,-0.0008272375326458343,2.8065256630767973e-11,-0.0069760807713244175
2023-12-16 11:00:00,8384,9.397768,-3.9385595,-3.091711,9.968094,0.9772822586918958,0.6083473854225034,1.5182081941259184e-06,0.381350914688509,0.0,0.0,0.0,0.0,0.6083473854225034,0.9897,-0.01525403658754036,1.5182081941259184e-09,-0.02320622816180731
2023-12-16 12:00:00,8385,9.333151,2.51025,-8.93427,9.990664,0.9785791361796107,1.0428738109331233,0.001296877487714868,0.21120115381708088,0.0,0.0,0.0,0.0,1.0428738109331233,1.25544,-0.008448046152683235,1.296877487714868e-06,-0.01554819052689713
2023-12-16 13:00:00,8386,5.722232,9.437199,-8.510269,9.945446,2.8385590035881245,0.04768645162381232,1.859979867408514,3.142667357003859e-08,0.0,0.0,0.0,0.6864486252417393,0.7341350768655517,2.00556,0.1441542100436983,0.001859979867408514,-0.14833707457519782
2023-12-16 14:00:00,8387,-2.7052279,9.936932,-9.471273,9.975023,2.797379996181607,9.519361000661774e-06,2.7973799961816073,1.0968608408985502e-08,2.8385590035881245,0.0,0.0,0.0,0.62712640426629,2.94462,-4.387443363594201e-10,0.0056359389997697315,-0.008041179500993896
2023-12-16 15:00:00,8388,-9.523586,9.977457,-9.971224,9.998438,1.4833109999999996,5.300454248766685e-09,1.483311,3.387712972893198e-09,2.797379996181607,0.0,0.0,0.0,0.7722899438890626,1.5613800000000002,-1.3550851891572794e-10,0.004280690996181606,-0.00931406914862869
2023-12-16 16:00:00,8389,-9.594782,9.808756,-6.7810636,9.913723,0.0,0.0,0.0,0.0,1.4833109999999996,0.0,0.0,0.0,0.8726542518103979,0.0,0.0,0.0014833109999999995,-0.009483311
2023-12-16 17:00:00,8390,-8.023056,-8.610369,-0.8590164,-4.632654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4811744809067102,1.4811744809067102,0.0,0.31104664099040913,0.0,-0.31904664099040914
2023-12-16 18:00:00,8391,-9.875673,-9.917301,-9.100948,-1.3488255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5482794613154038,1.5482794613154038,0.0,0.3251386868762348,0.0,-0.3331386868762348
2023-12-16 19:00:00,8392,-9.987679,-9.908546,-9.583703,-6.2406816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7852441733225757,1.7852441733225757,0.0,0.3749012763977409,0.0,-0.3829012763977409
2023-12-16 20:00:00,8393,-9.956517,-9.689001,-9.403502,-7.4843063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456120525233955,1.4456120525233955,0.0,0.30357853102991306,0.0,-0.31157853102991306
2023-12-16 21:00:00,8394,-9.761974,-8.554855,-6.6305885,-0.7962265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3604303057073803,1.3604303057073803,0.0,0.2856903641985499,0.0,-0.2936903641985499
2023-12-16 22:00:00,8395,-0.8878164,-3.8703628,4.753977,8.498135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0355489508826248,1.0355489508826248,0.0,0.15222569577974585,0.0,-0.16022569577974585
2023-12-16 23:00:00,8396,4.860034,5.459198,9.1177635,8.719866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8431510380438964,0.8431510380438964,0.0,0.12394320259245276,0.0,-0.13194320259245276
2023-12-17 00:00:00,8397,-9.561109,-9.068896,0.18438148,5.3263674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7259964638006595,0.7259964638006595,0.0,0.10672148017869694,0.0,-0.11472148017869693
2023-12-17 01:00:00,8398,-7.1573305,-7.932529,1.312954,-0.8492718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7130365513915222,0.7130365513915222,0.0,0.10481637305455375,0.0,-0.11281637305455375
2023-12-17 02:00:00,8399,-6.327853,-8.215506,-1.5251741,-4.3245754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7062020769022526,0.7062020769022526,0.0,0.10381170530463112,0.0,-0.11181170530463111
2023-12-17 03:00:00,8400,2.033864,-6.681628,0.15748978,-4.169956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7317223051666513,0.7317223051666513,0.0,0.10756317885949773,0.0,-0.11556317885949774
2023-12-17 04:00:00,8401,9.820963,-1.3045044,8.221294,-2.5590334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7800699651293188,0.7800699651293188,0.0,0.11467028487400986,0.0,-0.12267028487400986
2023-12-17 05:00:00,8402,9.994848,5.382022,9.933464,4.539543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8670634779423843,0.8670634779423843,0.0,0.12745833125753048,0.0,-0.13545833125753048
2023-12-17 06:00:00,8403,9.999483,4.936487,9.986874,8.821936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3020876017064582,1.3020876017064582,0.0,0.2734383963583562,0.0,-0.2814383963583562
2023-12-17 07:00:00,8404,9.999025,-0.93911076,9.963947,8.606167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4335795012997865,1.4335795012997865,0.0,0.30105169527295517,0.0,-0.3090516952729552
2023-12-17 08:00:00,8405,9.998398,-0.5256052,9.956484,8.719404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1920682479668556,1.1920682479668556,0.0,0.2503343320730397,0.0,-0.2583343320730397
