agent_date,agent_action_pv_to_house,agent_action_pv_to_batt,agent_action_batt_to_house,agent_action_grid_to_batt,agent_soc_kWh,agent_house_consumed_kWh,agent_pv_to_house_kWh,agent_pv_to_batt_kWh,agent_pv_to_grid_kWh,agent_batt_to_house_kWh,agent_batt_to_grid_kWh,agent_grid_to_batt_kWh,agent_grid_to_house_kWh,agent_step_cost_€,random_date,random_action_pv_to_house,random_action_pv_to_batt,random_action_batt_to_house,random_action_grid_to_batt,random_soc_kWh,random_house_consumed_kWh,random_pv_to_house_kWh,random_pv_to_batt_kWh,random_pv_to_grid_kWh,random_batt_to_house_kWh,random_batt_to_grid_kWh,random_grid_to_batt_kWh,random_grid_to_house_kWh,random_step_cost_€,rule_date,rule_action_pv_to_house,rule_action_pv_to_batt,rule_action_batt_to_house,rule_action_grid_to_batt,rule_soc_kWh,rule_house_consumed_kWh,rule_pv_to_house_kWh,rule_pv_to_batt_kWh,rule_pv_to_grid_kWh,rule_batt_to_house_kWh,rule_batt_to_grid_kWh,rule_grid_to_batt_kWh,rule_grid_to_house_kWh,rule_step_cost_€
2023-10-04 17:00:00,0.0061596036,0.9413918,0.9812607,0.0003066063,0.6079548716455697,1.0040168774573808,0.0006397364294528961,0.09777295501470565,0.005447308555841454,0.0,0.0,0.0015330314636230469,1.003377141027928,91.95058348208528,2023-10-04 17:00:00,0.06957841,0.11304768,0.39952502,0.29015043,1.3893686360642388,1.8885054477714005,0.007226413578987121,0.01174113222643733,0.08489245419457554,1.8812790341924135,2.827510043536427,1.450752168893814,0.0,-134.47183025302138,2023-10-04 17:00:00,1.0,0.0,1.0,1.0,4.755081628145112,4.85386,0.10386,0.0,0.0,4.75,0.0,4.898367437097756,0.0,450.6498042129935
2023-10-04 18:00:00,0.0523991,0.9927144,0.99315333,0.00020933151,0.6089491963297128,1.114884033528637,0.0,0.0,0.0,0.0,0.0,0.0010466575622558594,1.114884033528637,124.00221839402002,2023-10-04 18:00:00,0.14163083,0.2998633,0.13644345,0.7927475,3.7655506134033203,1.114884033528637,0.0,0.0,0.0,0.18009173890694036,1.1398084653540865,3.9637374877929688,0.9347922946216967,417.66911275177154,2023-10-04 18:00:00,0.0,0.0,1.0,1.0,4.75,4.517327546737856,0.0,0.0,0.0,4.517327546737856,0.0,5.0,0.0,555.6
2023-10-04 19:00:00,0.2062752,0.99963003,0.99986833,5.605817e-05,0.6092154726296662,1.31800905199604,0.0,0.0,0.0,0.0,0.0,0.0002802908420562744,1.31800905199604,171.40398035580927,2023-10-04 19:00:00,0.40033886,0.17259508,0.13090554,0.65458745,3.10929037630558,1.31800905199604,0.0,0.0,0.0,0.46828486032054284,3.108988222412611,3.2729372382164,0.8497241916754971,131.7977904364568,2023-10-04 19:00:00,0.0,0.0,1.0,1.0,4.75,4.5125,0.0,0.0,0.0,4.5125,0.0,5.0,0.0,650.1
2023-10-04 20:00:00,0.12240946,0.99867356,0.99991417,0.00012534857,0.6098108783274888,0.9710241547414984,0.0,0.0,0.0,0.0,0.0,0.0006267428398132324,0.9710241547414984,113.54712389135207,2023-10-04 20:00:00,0.27972844,0.7939133,0.575386,0.71576065,3.399863079190254,1.6995900086790583,0.0,0.0,0.0,1.6995900086790583,1.2542358488112428,3.578803241252899,0.0,271.648945480732,2023-10-04 20:00:00,0.0,0.0,1.0,1.0,4.75,4.5125,0.0,0.0,0.0,4.5125,0.0,5.0,0.0,584.3
2023-10-04 21:00:00,0.06616983,0.9450288,0.99953884,0.00028148293,0.6111479222685098,0.7816855593184253,0.0,0.0,0.0,0.0,0.0,0.0014074146747589111,0.7816855593184253,69.26457354969715,2023-10-04 21:00:00,0.69838977,0.6743712,0.08665948,0.5497779,2.6114451438188553,0.7816855593184253,0.0,0.0,0.0,0.27989885985308055,2.9499710653776607,2.7488896250724792,0.5017866994653448,26.59738017271644,2023-10-04 21:00:00,0.0,0.0,1.0,1.0,4.75,4.5125,0.0,0.0,0.0,4.5125,0.0,5.0,0.0,442.25
2023-10-04 22:00:00,0.116331756,0.8175237,0.99940574,0.00036168098,0.6128659069448709,0.5148346113767073,0.0,0.0,0.0,0.0,0.0,0.0018084049224853516,0.5148346113767073,44.219475765047896,2023-10-04 22:00:00,0.98716813,0.6811291,0.51124144,0.78646296,3.7356990724802017,1.2683250171046272,0.0,0.0,0.0,1.2683250171046272,1.2125478695232854,3.9323148131370544,0.0,232.78485270390252,2023-10-04 22:00:00,0.0,0.0,1.0,1.0,4.75,4.5125,0.0,0.0,0.0,4.5125,0.0,5.0,0.0,427.95000000000005
2023-10-04 23:00:00,0.30496228,0.6910616,0.99514735,0.0008960068,0.6171219393521546,0.3078676333622614,0.0,0.0,0.0,0.0,0.0,0.004480034112930298,0.3078676333622614,24.331883296317436,2023-10-04 23:00:00,0.8553947,0.7886595,0.43606082,0.15979297,0.7590166293084621,1.547542386758292,0.0,0.0,0.0,1.547542386758292,2.0013717320978994,0.7989648729562759,0.0,-93.66749432713249,2023-10-04 23:00:00,0.0,0.0,1.0,1.0,4.75,4.5125,0.0,0.0,0.0,4.5125,0.0,5.0,0.0,389.5
2023-10-05 00:00:00,0.90569615,0.32343388,0.986603,0.00072851777,0.6205823987632989,0.1924417543913292,0.0,0.0,0.0,0.0,0.0,0.0036425888538360596,0.1924417543913292,16.3122565145653,2023-10-05 00:00:00,0.20317967,0.60686916,0.58004194,0.4191486,2.749972451478243,0.1924417543913292,0.0,0.0,0.0,0.0,0.0,2.0957429707050323,0.1924417543913292,190.3540872807663,2023-10-05 00:00:00,0.0,0.0,1.0,1.0,4.75,4.5125,0.0,0.0,0.0,4.5125,0.0,5.0,0.0,415.95
2023-10-05 01:00:00,0.47689447,0.19452354,0.9907918,0.0011234581,0.6259188249617814,0.1716313556644988,0.0,0.0,0.0,0.0,0.0,0.005617290735244751,0.1716313556644988,13.740315068908119,2023-10-05 01:00:00,0.7045542,0.11596623,0.22293043,0.4509218,2.141878567636013,0.5823999176099414,0.0,0.0,0.0,0.5823999176099414,2.030073911294389,2.2546090185642242,0.0,17.405961515557635,2023-10-05 01:00:00,0.0,0.0,1.0,1.0,4.75,4.5125,0.0,0.0,0.0,4.5125,0.0,5.0,0.0,387.59999999999997
2023-10-05 02:00:00,0.09435141,0.14066869,0.9903122,0.0022832155,0.6367640986949205,0.1801526048702044,0.0,0.0,0.0,0.0,0.0,0.011416077613830566,0.1801526048702044,13.58413527494292,2023-10-05 02:00:00,0.52945703,0.121572465,0.6722062,0.07551371,0.3586901370435953,1.3677948969939084,0.0,0.0,0.0,1.3677948969939084,0.6669897422603038,0.3775685653090477,0.0,-20.52285565761357,2023-10-05 02:00:00,0.0,0.0,1.0,1.0,4.75,4.5125,0.0,0.0,0.0,4.5125,0.0,5.0,0.0,354.54999999999995
