datetime,step,charge_batt_frac,use_batt_frac,soc_kWh,soc_ratio,pv_production_kWh,consumption_kWh,pv_to_house_kWh,pv_to_batt_kWh,pv_to_grid_kWh,batt_to_house_kWh,grid_to_house_kWh,step_cost_eur,degradation_penalty,reward
2023-07-16 07:00:00,4708,0.9275463819503784,0.5211895704269409,3.4650775340787665,0.34650775340787665,0.5722200000000001,1.0386793660170892,0.5722200000000001,0.0,0.0,0.2431137565960699,0.22334560942101925,0.04690257797841404,0.0002431137565960699,-0.047145691735010105
2023-07-16 08:00:00,4709,0.9953322410583496,0.009552747011184692,3.8679473310859223,0.38679473310859225,1.06158,0.6355177736996389,0.6355177736996389,0.40286979700715564,0.001988755766512973,0.0,0.0,-7.955023066051892e-05,0.0004028697970071556,-0.0003233195663466367
2023-07-16 09:00:00,4710,0.9253453612327576,0.05468672513961792,5.974947288553954,0.5974947288553955,2.83938,0.4425508970617155,0.4425508970617155,2.1069999574680325,0.17893441086667128,0.0,0.0,-0.007157376434666851,0.0021069999574680324,0.005050376477198819
2023-07-16 10:00:00,4711,0.5504900813102722,0.003346651792526245,6.549383660150958,0.6549383660150958,1.49052,0.3920990013877811,0.3920990013877811,0.5744363715970033,0.4937511337732682,0.0,0.0,-0.019750045350930726,0.0005744363715970034,0.019175608979333722
2023-07-16 11:00:00,4712,0.40103879570961,0.0018031895160675049,7.189038868755296,0.7189038868755296,2.08272,0.4037770163824207,0.4037770163824207,0.6396552086043388,1.005621711402486,0.0,0.0,-0.04022486845609944,0.0006396552086043388,0.0395852132474951
2023-07-16 12:00:00,4713,0.09472745656967163,0.20305132865905762,7.538641257282328,0.7538641257282328,4.63146,0.7466041454746906,0.7466041454746906,0.34960238852703174,3.5168533402863282,0.0,0.0,-0.14067413361145314,0.00034960238852703175,0.14032453122292612
2023-07-16 13:00:00,4714,0.6201708912849426,0.18270379304885864,9.749544794909172,0.9749544794909172,4.3406400000000005,0.5880180784993597,0.5880180784993597,2.210903537626843,1.4253550397881742,0.0,0.0,-0.057014201591526974,0.002210903537626843,0.05480329805390013
2023-07-16 14:00:00,4715,0.5809680223464966,0.10728037357330322,10.0,1.0,3.14964,0.457918660164016,0.457918660164016,0.2504552050908284,2.4280842818456385,0.0,0.0,-0.09712337127382555,0.0002504552050908284,0.09687291606873472
2023-07-16 15:00:00,4716,0.22318103909492493,0.04140487313270569,10.0,1.0,3.30684,0.4714953942030864,0.4714953942030864,0.0,2.835344605796913,0.0,0.0,-0.11341378423187654,0.0,0.11341378423187654
2023-07-16 16:00:00,4717,0.2648557424545288,0.12937584519386292,10.0,1.0,2.41326,0.6759932687882789,0.6759932687882789,0.0,1.7372667312117214,0.0,0.0,-0.06949066924846886,0.0,0.06949066924846886
2023-07-16 17:00:00,4718,0.11349707841873169,0.6080748438835144,10.0,1.0,1.2506400000000002,1.1269109850645735,1.1269109850645735,0.0,0.12372901493542665,0.0,0.0,-0.0049491605974170665,0.0,0.0049491605974170665
2023-07-16 18:00:00,4719,0.5509061813354492,0.954216718673706,9.182884526509707,0.9182884526509707,0.41688,1.2732006423652131,0.41688,0.0,0.0,0.8171154734902939,0.039205168874919316,0.008233085463733057,0.0008171154734902939,-0.00905020093722335
2023-07-16 19:00:00,4720,0.2036779522895813,0.9992131590843201,7.807111679739318,0.7807111679739318,0.08364,1.4604962135742368,0.08364,0.0,0.0,1.3757728467703885,0.0010833668038483513,0.00022750702880815375,0.0013757728467703885,-0.0016032798755785424
2023-07-16 20:00:00,4721,0.016301006078720093,0.9966944456100464,6.710615653539733,0.6710615653539733,0.0,1.1001325742599606,0.0,0.0,0.0,1.0964960261995846,0.0036365480603759437,0.0007636750926789482,0.0010964960261995846,-0.0018601711188785328
2023-07-16 21:00:00,4722,0.009546816349029541,0.9993817806243896,5.898495671405515,0.5898495671405515,0.0,0.8126223610228566,0.0,0.0,0.0,0.812119982134218,0.0005023788886385772,0.00010549956661410119,0.000812119982134218,-0.0009176195487483192
2023-07-16 22:00:00,4723,0.23029989004135132,0.8187202215194702,5.520155558962998,0.5520155558962998,0.0,0.4621116011283463,0.0,0.0,0.0,0.37834011244251675,0.08377148868582956,0.012314408836816945,0.00037834011244251674,-0.012692748949259461
